name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, MX",2024-11-01,84.3,49.2,65.9,81.6,49.2,65.4,44.1,50.9,0,0,0,,0,0,14.5,4.9,135.4,1012.6,21.8,6.9,249.8,21.7,9,10,2024-11-01T06:58:11,2024-11-01T18:19:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999"
"Tequila, MX",2024-11-02,82.7,54.6,68,82.3,54.6,68,51.4,58.1,0,0,0,,0,0,17.7,4,88.3,1012,35.4,8.2,219.4,18.9,9,10,2024-11-02T06:58:41,2024-11-02T18:18:55,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-03,85.6,56.4,69.4,82.9,56.4,68.9,51.4,58.9,0,0,0,,0,0,23.7,10.3,262,1010.3,21.1,8.8,246.7,21.3,9,10,2024-11-03T06:59:12,2024-11-03T18:18:25,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-04,82.5,55.1,67.7,80.9,55.1,67.6,53.3,64.4,0,0,0,,0,0,23.3,13.9,288.5,1009.4,26.5,7.2,228.3,19.7,9,10,2024-11-04T06:59:43,2024-11-04T18:17:56,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-05,82.9,53.2,67,80.6,53.2,66.8,51.8,64.1,0,0,0,,0,0,16.3,5.7,313.3,1009.4,23.1,6.8,243.5,21,9,10,2024-11-05T07:00:15,2024-11-05T18:17:29,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999"
"Tequila, MX",2024-11-06,82.5,54.2,67.4,81.8,54.2,67.3,55.2,68.5,0,0,0,,0,0,17.7,9.2,175.3,1010.4,27.5,6.6,214.7,18.5,8,10,2024-11-06T07:00:47,2024-11-06T18:17:02,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999"
"Tequila, MX",2024-11-07,81.8,57.8,68.2,81.5,57.8,68.2,57.5,71.9,0,0,0,,0,0,15.7,4.7,257.2,1011.1,38.1,7.6,204.7,17.7,8,10,2024-11-07T07:01:20,2024-11-07T18:16:37,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999,remote"
"Tequila, MX",2024-11-08,85,55.5,69.4,83,55.5,69.1,55.1,65.8,0,0,0,,0,0,18.8,6.3,280.1,1010.3,16.4,7.3,223.4,19.4,8,10,2024-11-08T07:01:53,2024-11-08T18:16:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-09,83.6,55.4,69.7,82.6,55.4,69.5,55.3,64.2,0,0,0,,0,0,17.9,4.9,287.2,1009.5,11.2,8.3,225.5,19.4,8,10,2024-11-09T07:02:27,2024-11-09T18:15:51,0.29,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-10,88,58.7,71.4,85.9,58.7,70.9,55.5,62.8,0,0,0,,0,0,14.8,4.5,332.2,1010.3,21,7.2,219.3,19,8,10,2024-11-10T07:03:01,2024-11-10T18:15:30,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-11,85.4,61.1,71.1,84.3,61.1,70.9,57.2,65,0,0,0,,0,0,11.2,8.1,19.8,1010.4,35.2,7.1,178.1,15.4,7,10,2024-11-11T07:03:36,2024-11-11T18:15:09,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999,remote"
"Tequila, MX",2024-11-12,84.3,57.8,70.1,83.1,57.8,69.8,54.5,62.2,0,0,0,,0,0,19.2,4.4,298.7,1010.1,49,7.6,181.1,15.7,8,10,2024-11-12T07:04:11,2024-11-12T18:14:51,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-13,84,53.5,68.6,81.4,53.5,68.2,50.5,58,0,0,0,,0,0,12.5,4,289.2,1010.9,30.5,6.8,210.6,18.2,8,10,2024-11-13T07:04:46,2024-11-13T18:14:33,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999"
"Tequila, MX",2024-11-14,83.6,54.8,67.4,81.2,54.8,67.1,49.6,57.8,0,0,0,,0,0,25.3,5,123.7,1011.5,36.2,6.9,229.7,19.9,8,10,2024-11-14T07:05:22,2024-11-14T18:14:17,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999"
"Tequila, MX",2024-11-15,81.6,52.4,66.4,80.3,52.4,66.2,49.4,58.8,0,0,0,,0,0,15.2,5.8,343.5,1011.3,7.2,6.9,219.5,18.9,8,10,2024-11-15T07:05:58,2024-11-15T18:14:02,0.5,Clear,Clear conditions throughout the day.,clear-day,"76613399999,76612099999,remote"
"Tequila, MX",2024-11-16,81.6,55.5,67.4,81,55.5,67.3,54.6,67.3,0,0,0,,0,0,161.1,4.5,297,1009.1,47,7.9,202.6,17.4,8,10,2024-11-16T07:06:35,2024-11-16T18:13:49,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote"
"Tequila, MX",2024-11-17,78.4,58.4,65.5,78.4,58.4,65.5,58.9,81.3,0.087,100,16.67,rain,0,0,10.5,4.4,228.6,1009.9,82.3,9.7,70.1,6.1,5,10,2024-11-17T07:07:12,2024-11-17T18:13:37,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76613399999,76612099999,remote"
