name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexica",2021-12-01,81.2,53.7,66.9,80.5,53.7,66.8,50.8,59.4,0.004,100,4.17,rain,0,0,15,5.8,311.5,1017.4,45.5,8,175.6,15.1,7,,2021-12-01T07:15:59,2021-12-01T18:13:06,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-02,84.8,46.5,67.4,82.1,46.5,67,44.2,48.6,0,0,0,,0,0,18.3,6.9,111.3,1017.6,18.5,8.3,194.7,16.9,8,,2021-12-02T07:16:38,2021-12-02T18:13:14,0.95,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-03,84.3,49.1,68.1,81.6,49.1,67.6,41.8,42.1,0,0,0,,0,0,12.3,4,63.4,1015.7,16.2,7.6,215,18.6,8,,2021-12-03T07:17:17,2021-12-03T18:13:23,0.98,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76612099999,remote"
"Tequila, Mexica",2021-12-04,84.8,44.5,66.6,82,44.5,66.2,42.2,47.3,0,0,0,,0,0,11.9,4.7,240.4,1017,29.7,7.8,202.7,17.6,8,,2021-12-04T07:17:55,2021-12-04T18:13:34,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,remote,F6804"
"Tequila, Mexica",2021-12-05,81.2,42.7,64.4,80.1,42.7,64.3,45.4,53.5,0,0,0,,0,0,17.9,4.9,259,1017,70.8,7.3,157.4,13.6,6,,2021-12-05T07:18:34,2021-12-05T18:13:46,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,F0749,76613399999,remote,F6804"
"Tequila, Mexica",2021-12-06,82.1,46.3,64.5,80.4,46.3,64.4,46.6,56.3,0,0,0,,0,0,12.5,6.9,249,1017.4,82.9,6.7,192.2,16.7,7,,2021-12-06T07:19:12,2021-12-06T18:13:59,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-07,80.5,46.5,64.8,79.3,45.4,64.6,45,53.6,0,0,0,,0,0,18.1,9.2,275.7,1016.8,41.2,8.9,197.6,17,8,,2021-12-07T07:19:50,2021-12-07T18:14:13,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-08,83.7,45.6,64.6,81.2,45.6,64.3,41.8,48.9,0,0,0,,0,0,16.3,8.9,326.1,1016.3,41.1,7.6,202.3,17.3,8,,2021-12-08T07:20:28,2021-12-08T18:14:29,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-09,83.4,42.3,65,80.8,42.3,64.8,36.7,39.2,0,0,0,,0,0,17.9,8.9,298.9,1016.7,36.2,8.4,209.6,18.1,8,,2021-12-09T07:21:05,2021-12-09T18:14:45,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMGL,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-10,81.1,42.7,61.5,79.2,42.7,61.4,35.9,43.7,0,0,0,,0,0,26.8,10.8,293.7,1017.2,36.7,8.1,195.4,17,7,,2021-12-10T07:21:42,2021-12-10T18:15:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexica",2021-12-11,81.1,44.5,63.1,79.4,44.5,62.9,39.2,45.5,0,0,0,,0,0,11.2,6.7,298.5,1015.8,68.3,8.9,200.8,17.3,8,,2021-12-11T07:22:18,2021-12-11T18:15:23,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
